author,poem name,age,type,question
EN JONSON,An Elegy,Renaissance,Love,"   The noblest freedom, not to choose
Against or faith or honors laws.
But who should less expect from you,
   In whom alone Love lives again?
   By whom he is restored to men,"
D. H. LAWRENCE,The Bride,Modern,Love,"Still winsome sleep, so still, and so composed.
Nay, but she sleeps like a bride, and dreams her dreams
      Of perfect things.
She lies at last, the darling, in the shape of her dream,
      And her dead mouth sings"
GEORGE SANTAYANA,Cape Cod,Modern,Nature,"Where the cawing crows and the slow gulls fly,
Where are the dead untold?
The thin, slant willows by the flooded bog,
The huge stranded hulk and the floating log,
Sorrow with life began!"
D. H. LAWRENCE,Almond Blossom,Modern,Nature,"Some memory of far, sun-gentler lands,
So that the faith in his heart smiles again
And his blood ripples with that untenable delight of once-more-vindicated faith,
And the Gethsemane blood at the iron pores unfolds, unfolds,
Pearls itself into tenderness of bud"
WILLIAM SHAKESPEARE,from The Rape of Lucrece,Renaissance,Love,"His eye, which late this mutiny restrains,
Unto a greater uproar tempts his veins.
And they, like straggling slaves for pillage fighting,
Obdurate vassals fell exploits effecting.
In bloody death and ravishment delighting,"
T. S. ELIOT,The Love Song of J. Alfred Prufrock,Modern,Love,"And seeing that it was a soft October night,
Curled once about the house, and fell asleep.
And indeed there will be time
For the yellow smoke that slides along the street,
Rubbing its back upon the window-panes;"
RICHARD BARNFIELD,Sonnet 17,Renaissance,Mythology & Folklore,"    Where Muses (like bees) make their mansion.
His teeth pure pearle in blushing correll set.
    Oh how can such a body sinne-procuring,
    Be slow to love, and quicke to hate, enduring?"
JOHN DONNE,The Ecstasy,Renaissance,Love,"Love's mysteries in souls do grow,
         But yet the body is his book.
And if some lover, such as we,
         Have heard this dialogue of one,
Let him still mark us, he shall see"
SIR WALTER RALEGH,Praisd be Dianas Fair and Harmless Light,Renaissance,Mythology & Folklore,"Eternity in her oft change she bears;
She beauty is; by her the fair endure.
Time wears her not: she doth his chariot guide;
Mortality below her orb is placd;
By her the virtue of the stars down slide;"
JOHN DONNE,The Calm,Renaissance,Nature,"But from the sea into the ship we turn,
Like parboil'd wretches, on the coals to burn.
Like Bajazet encag'd, the shepherds' scoff,
Or like slack-sinew'd Samson, his hair off,
Languish our ships. Now as a myriad"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"To winne him worship, and her grace to have,
Which of all earthly things he most did crave;
And ever as he rode, his hart did earne
To prove his puissance in battell brave
Upon his foe, and his new force to learne;"
LADY MARY WROTH,from Pamphilia to Amphilanthus: 17,Renaissance,Love,"    And to attend like servants bound to mee,
Heat in desire, while frosts of care I prove,
    Wanting my love, yett surfett doe with love
    Burne, and yett freeze, better in hell to bee."
GEORGE SANTAYANA,Before a Statue of Achilles,Modern,Mythology & Folklore,"He braved for fame immortal and a friend,
Despising life; and we, who know our end,
Know that in our decay he shall endure
And all our childrens hearts to grief inure,
With whose first bitter battles his shall blend."
JOHN DONNE,Love's Growth,Renaissance,Love,"If, as water stirred more circles be
Produced by one, love such additions take,
Those, like so many spheres, but one heaven make,
For they are all concentric unto thee;
And though each spring do add to love new heat,"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"But ah, here fits not well
Old woes but joys to tell
Against the bridal day, which is not long:
      Sweet Thames, run softly, till I end my song.
Yet therein now doth lodge a noble peer,"
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Love,"Many would praise the sweet smell as she past,
When twas the odour which her breath forth cast;
And there for honey bees have sought in vain,
And beat from thence, have lighted there again.
About her neck hung chains of pebble-stone,"
IVOR GURNEY,To the Prussians of England,Modern,Mythology & Folklore,"An armed mistress, braggart of the tide,
Her children slaves, under your mastery.
We'll have a word there too, and forge a knife,
Will cut the cancer threatens England's life."
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"Now ryse up Elisa, decked as thou art,
         in royall aray:
And now ye daintie Damsells may depart
         echeone her way,
I feare, I have troubled your troupes to longe:"
WILLIAM SHAKESPEARE,The Phoenix and the Turtle,Renaissance,Love,"Co-supremes and stars of love,
As chorus to their tragic scene:
                 threnos
Beauty, truth, and rarity,
Grace in all simplicity,"
SIR PHILIP SIDNEY,Astrophil and Stella 15: You that do search for every purling spring ,Renaissance,Love,"And sure, at length stol'n goods do come to light.
But if, both for your love and skill, your name
You seek to nurse at fullest breasts of Fame,
Stella behold, and then begin to endite."
JOHN DONNE,Air and Angels,Renaissance,Nature,"         For, nor in nothing, nor in things
Extreme, and scatt'ring bright, can love inhere;
         Then, as an angel, face, and wings
Of air, not pure as it, yet pure, doth wear,
         So thy love may be my love's sphere;"
WILLIAM SHAKESPEARE,from The Rape of Lucrece,Renaissance,Love,"Wrapped and confounded in a thousand fears,
Like to a new-killed bird she trembling lies.
She dares not look; yet, winking, there appears
Quick-shifting antics ugly in her eyes.
Such shadows are the weak brains forgeries,"
EDGAR LEE MASTERS,Lucinda Matlock,Modern,Love,"I made the garden, and for holiday
Rambled over the fields where sang the larks,
And by Spoon River gathering many a shell,
And many a flower and medicinal weed 
Shouting to the wooded hills, singing to the green valleys."
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"Or if thee please in bigger notes to sing,
Advaunce the worthy whome shee loveth best,
That first the white beare to the stake did bring.
And when the stubborne stroke of stronger stounds,
Has somewhat slackt the tenor of thy string:"
RICHARD ALDINGTON,,Modern,Nature,"Daughters of Okeanos.
And the songs pass
From the green land
Which lies upon the waves as a leaf
On the flowers of hyacinth;"
LOUIS UNTERMEYER,Magic,Modern,Nature,"Happy to move about a spirit quite
As old, as placid and as confident...
Sideways we turned. Still glistening and unclad
He leaped up on the bank, light as a lad,
His body in the moonlight dripping stars..."
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"Then sat we amidships, wind jamming the tiller.
Thus with stretched sail
                   We went over sea till day's end:
Sun to his slumber, shadows o'er all the ocean.
Came we then to the bounds of deepest water,"
ELINOR WYLIE,Wild Peaches,Modern,Love,"Fruits red and purple, sombre-bloomed and black;
Then, down rich fields and frosty river beaches
Well trample bright persimmons, while you kill
Bronze partridge, speckled quail, and canvasback.
                                  4 "
JOHN DONNE,Elegy IX: The Autumnal,Renaissance,Nature,"Or else because, being young, nature did bless
         Her youth with age's glory, barrenness.
If we love things long sought, age is a thing
         Which we are fifty years in compassing;
If transitory things, which soon decay,"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"That they appear through lilies' plenteous store,
Like a bride's chamber floor.
Two of those nymphs meanwhile, two garlands bound,
Of freshest flowers which in that mead they found,
The which presenting all in trim array,"
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"Let endless peace your steadfast hearts accord,
And blessed plenty wait upon your board,
And let your bed with pleasures chaste abound,
That fruitful issue may to you afford,
Which may your foes confound,"
WILLIAM SHAKESPEARE,The Phoenix and the Turtle,Renaissance,Mythology & Folklore,"'Twixt this Turtle and his queen:
But in them it were a wonder.
So between them love did shine
That the Turtle saw his right
Flaming in the Phoenix' sight:"
DUCHESS OF NEWCASTLE MARGARET CAVENDISH,An Epilogue to the Above,Renaissance,Mythology & Folklore,"And then, in whispers soft, I did present
His humble service which in mirth was sent;
Thus by imagination I have been
In Fairy court and seen the Fairy Queen."
D. H. LAWRENCE,Cruelty and Love ,Modern,Nature,"His strong teeth in a smile, and flashes his eyes
In a smile like triumph upon me; then careless-wise
He flings the rabbit soft on the table board
And comes towards me: ah, the uplifted sword
Of his hand against my bosom, and oh, the broad"
EN JONSON,An Elegy,Renaissance,Love,"   One spark of your diviner heat
To light upon a love of mine.
Which, if it kindle not, but scant
   Appear, and that to shortest view,
   Yet give me leave t adore in you"
RICHARD ALDINGTON,To a Greek Marble,Modern,Nature,"And thou hearest me not,
Potuia, potuia
Thou hearest me not."
EDMUND SPENSER,from The Shepheardes Calender: October,Renaissance,Nature,"PIERS
Cuddie, the prayse is better, then the price,
The glory eke much greater then the gayne:
O what an honor is it, to restraine
The lust of lawlesse youth with good advice:"
D. H. LAWRENCE,Almond Blossom,Modern,Nature,"Ever-beating dawn-heart, enveloped in iron against the exile, against the ages.
See it come forth in blossom
From the snow-remembering heart
In long-nighted January,
In the long dark nights of the evening star, and Sirius, and the Etna snow-wind through the long night."
CARL SANDBURG,Theme in Yellow,Modern,Nature,"And love to the harvest moon;
I am a jack-o'-lantern
With terrible teeth
And the children know
I am fooling."
D. H. LAWRENCE,Almond Blossom,Modern,Nature,"In supreme bitterness.
Upon the iron, and upon the steel,
Odd flakes as if of snow, odd bits of snow,
Odd crumbs of melting snow.
But you mistake, it is not from the sky;"
JOHN DONNE,Break of Day,Renaissance,Nature,"And that I loved my heart and honour so,
That I would not from him, that had them, go.
Must business thee from hence remove?
Oh, thats the worst disease of love,
The poor, the foul, the false, love can"
SIR THOMAS WYATT,Of the Mean and Sure Estate,Renaissance,Nature,"And at this journey she maketh but a jape;
So forth she goeth, trusting of all this wealth
With her sister her part so for to shape,
That if she might keep herself in health,
To live a lady while her life doth last."
SIR PHILIP SIDNEY,What Length of Verse?,Renaissance,Love,"Her hair pure crapall stone, her mouth, O heavenly wide,
Her skin like burnished gold, her hands like silver ore untried.
As for those parts unknown, which hidden sure are best,
Happy be they which believe, and never seek the rest."
WALLACE STEVENS,Thirteen Ways of Looking at a Blackbird,Modern,Nature,"That the blackbird is involved   
In what I know.   
IX
When the blackbird flew out of sight,   
It marked the edge   "
JOHN DONNE,The Bait,Renaissance,Love,"Let coarse bold hands from slimy nest
The bedded fish in banks out-wrest;
Or curious traitors, sleeve-silk flies,
Bewitch poor fishes' wand'ring eyes.
For thee, thou need'st no such deceit,"
SIR PHILIP SIDNEY,Fourth Song,Renaissance,Love,"Cursed by my destines all
That brought me so high to fall:
Soon with my death I will please thee.
No, no, no, no, my dear, let be."
SARA TEASDALE,Union Square,Modern,Love,"Where the girls with thirsty eyes go by
On the errand each man knows.
And on we walked and on we walked,
At the door at last we said good-bye;
I knew by his smile he had not heard"
GEORGE SANTAYANA,There may be Chaos still around the World,Modern,Mythology & Folklore,"I soon mine eyelids drowsy curtain draw
To hide their myriad faces from my sight.
They threat in vain; the whirlwind cannot awe
A happy snow-flake dancing in the flaw."
JOHN DONNE,The Indifferent,Renaissance,Love,"Will it not serve your turn to do as did your mothers?
Or have you all old vices spent, and now would find out others?
Or doth a fear that men are true torment you?
O we are not, be not you so;
Let me, and do you, twenty know."
EDMUND SPENSER,Prothalamion,Renaissance,Nature,"With gifts of wit and ornaments of nature,
Fit for so goodly stature;
That like the twins of Jove they seemed in sight,
Which deck the baldric of the heavens bright.
They two forth pacing to the river's side,"
LOUIS UNTERMEYER,Magic,Modern,Mythology & Folklore,"We shot its nose against the rippling current,
Feeling the rising rivers half-deterrent
Pull on the paddle as we turned the blade
To keep from swerving round; while we delayed
To watch the curious wave-eaten locks;"
JOHN DONNE,Elegy IX: The Autumnal,Renaissance,Love,"Here where still evening is, not noon nor night,
         Where no voluptuousness, yet all delight.
In all her words, unto all hearers fit,
         You may at revels, you at council, sit.
This is Love's timber, youth his underwood;"
JOHN DONNE,Break of Day,Renaissance,Love,"And that I loved my heart and honour so,
That I would not from him, that had them, go.
Must business thee from hence remove?
Oh, thats the worst disease of love,
The poor, the foul, the false, love can"
D. H. LAWRENCE,Bat,Modern,Nature,"Bats, and an uneasy creeping in one's scalp
As the bats swoop overhead!
Flying madly.
Pipistrello!
Black piper on an infinitesimal pipe."
GEORGE GASCOIGNE,The Lullaby of a Lover,Renaissance,Love,"For trust to this: if thou be still,
My body shall obey thy will.
     Eke lullaby, my loving boy,
My little Robin, take thy rest;
Since age is cold and nothing coy,"
SAMUEL DANIEL,Delia 36: But love whilst that thou mayst be loved again,Renaissance,Love,"And think the same becomes thy fading best
Which then shall most inveil and shadow most.
Men do not weigh the stalk for what it was,
When once they find her flower, her glory, pass."
WILLIAM SHAKESPEARE,Sonnet 73: That time of year thou mayst in me behold,Renaissance,Love,"As the death-bed whereon it must expire,
Consum'd with that which it was nourish'd by.
This thou perceiv'st, which makes thy love more strong,
To love that well which thou must leave ere long."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Were stretcht now forth at length without entraile.
She lookt about, and seeing one in mayle
Armed to point, sought backe to turne againe;
For light she hated as the deadly bale,
Ay wont in desert darknesse to remaine,"
"HENRY HOWARD, EARL OF SURREY",Complaint of the Absence of Her Love Being Upon the Sea,Renaissance,Love,"And of each thought a doubt doth grow;
Now he comes! Will he come? Alas, no, no!"
T. S. ELIOT,Portrait of a Lady,Modern,Love,"""And so you are going abroad; and when do you return?
But that's a useless question.
You hardly know when you are coming back,
You will find so much to learn.""
My smile falls heavily among the bric-a-brac."
WILLIAM BUTLER YEATS,Adam's Curse,Modern,Love,"And in the trembling blue-green of the sky   
A moon, worn as if it had been a shell   
Washed by times waters as they rose and fell   
About the stars and broke in days and years.
I had a thought for no ones but your ears:   "
D. H. LAWRENCE,Bat,Modern,Nature,"Swallows with spools of dark thread sewing the shadows together.
A circle swoop, and a quick parabola under the bridge arches
Where light pushes through;
A sudden turning upon itself of a thing in the air.
A dip to the water."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Forget their service and about her fly,
Ofte peeping in her face that seemes more fayre,
The more they on it stare.
But her sad eyes still fastened on the ground,
Are governed with goodly modesty,"
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"And with false shewes abuse his fantasy,
In sort as he him schooled privily:
And that new creature borne without her dew,
Full of the makers guile, with usage sly
He taught to imitate that Lady trew,"
EDMUND SPENSER,Amoretti LXXI: I joy to see how in your drawen work,Renaissance,Love,"So sweet your prison you in time shall prove,
With many deare delights bedecked fyne,
And all thensforth eternall peace shall see
Betweene the Spyder and the gentle Bee."
EDMUND SPENSER,The Shepheardes Calender: January,Renaissance,Nature,"Yet for thou pleasest not, where most I would:
And thou vnlucky Muse, that wontst to ease
My musing mynd, yet canst not, when thou should:
Both pype and Muse, shall sore the while abye.
So broke his oaten pype, and downe dyd lye."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"Ne will the woods now answer, nor your Eccho ring.
Who is the same, which at my window peepes?
Or whose is that faire face, that shines so bright,
Is it not Cinthia, she that never sleepes,
But walkes about high heaven al the night?"
GEORGE SANTAYANA,To. W. P.,Modern,Nature,"The bough that falls with all its trophies hung
Falls not too soon, but lays its flower-crowned head
Most royal in the dust, with no leaf shed
Unhallowed or unchiselled or unsung.
And though the after world will never hear"
EDMUND SPENSER,An Hymn In Honour Of Beauty,Renaissance,Love,"It seems that he before his eyes had plac'd
A goodly pattern, to whose perfect mould
He fashion'd them as comely as he could;
That now so fair and seemly they appear,
As nought may be amended anywhere."
JOHN SKELTON,The Book of Phillip Sparrow,Renaissance,Mythology & Folklore,"It can not be exprest
My sorowfull hevynesse,
But all without redresse;
For within that stounde,
Halfe slumbrynge, in a swounde"
SIR THOMAS WYATT,Forget not Yet the Tried Intent,Renaissance,Love,"The painful patience in denays,
            Forget not yet.
   Forget not yet, forget not this,
How long ago hath been and is
The mind that never meant amiss;"
SIR PHILIP SIDNEY,Sonnet 1,Renaissance,Love,"And others feet still seemed but strangers in my way.
Thus great with child to speak, and helpless in my throes,
Biting my truant pen, beating myself for spite:
Fool, said my Muse to me, look in thy heart and write."
WILLIAM SHAKESPEARE,Sonnet 98: From you have I been absent in the spring,Renaissance,Love,"They were but sweet, but figures of delight
Drawn after you,  you pattern of all those.
    Yet seemd it winter still, and, you away,
    As with your shadow I with these did play."
ELINOR WYLIE,Wild Peaches,Modern,Nature,"The sun, which burns from copper into brass,
Melts these at noon, and makes the boys unfold
Their knitted mufflers; full as they can hold
Fat pockets dribble chestnuts as they pass.
Peaches grow wild, and pigs can live in clover;"
THOMAS CAMPION,Follow Thy Fair Sun,Renaissance,Love,"Poetry Out Loud Note: In the print anthology, this poem is titled ""Follow thy fair sun, unhappy shadow."" The student may give either title during the recitation."
SIR PHILIP SIDNEY,Fourth Song,Renaissance,Love,"So to raise my hap more high;
Fear not else, none can us spy:
Take me to thee, and thee to me.
No, no, no, no, my dear, let be.
That you heard was but a mouse,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"         Like Ph{oe}be fayre?
Her heavenly haveour, her princely grace
         can you well compare?
The Redde rose medled with the White yfere,
In either cheeke depeincten lively chere."
WILLIAM SHAKESPEARE,"Sonnet 147: My love is as a fever, longing still",Renaissance,Love,"My thoughts and my discourse as madmens are,
At random from the truth vainly expressed:
    For I have sworn thee fair, and thought thee bright,
    Who art as black as hell, as dark as night."
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"With shouting, pallor upon me, cried to my men for more beasts;
Slaughtered the herdssheep slain of bronze,
Poured ointment, cried to the gods,
To Pluto the strong, and praised Proserpine.
Unsheathed the narrow steel,"
JOHN SKELTON,To Mistress Margaret Hussey,Renaissance,Love,"Her demeaning
In every thing,
Far, far passing
That I can indite,
Or suffice to write"
WILLIAM SHAKESPEARE,Sonnet 25: Let those who are in favour with their stars,Renaissance,Love,"Is from the book of honour razed quite,
And all the rest forgot for which he toil'd:
Then happy I, that love and am beloved
Where I may not remove nor be removed."
WALLACE STEVENS,Peter Quince at the Clavier,Modern,Love,"A cymbal crashed,
And roaring horns.
                                           III
Soon, with a noise like tambourines,
Came her attendant Byzantines."
SIR THOMAS WYATT,And Wilt thou Leave me Thus?,Renaissance,Love,"As for to leave me thus?
Say nay, say nay!
And wilt thou leave me thus,
That hath given thee my heart
Never for to depart,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"         O how art thou dasht?
But I will not match her with Latonaes seede,
Such follie great sorow to Niobe did breede.
         Now she is a stone,
         And makes dayly mone,"
WILLIAM SHAKESPEARE,from The Rape of Lucrece,Renaissance,Love,"But that life lived in death, and death in life.
Her breasts like ivory globes circled with blue,
A pair of maiden worlds unconquered,
Save of their lord no bearing yoke they knew,
And him by oath they truly honoured."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Or the blind God, that doth me thus amate,
For hoped love to winne me certaine hate?
Yet thus perforce he bids me do, or die.
Die is my dew: yet rew my wretched state
You, whom my hard avenging destinie"
GEORGE CHAPMAN,"A Coronet for his Mistress, Philosophy",Renaissance,Love,"Of love, and honour's complete history.
Your eyes were never yet let in to see
The majesty and riches of the mind,
But dwell in darkness; for your god is blind."
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"That all the woods them answer and theyr eccho ring.
My love is now awake out of her dreames,
And her fayre eyes like stars that dimmed were
With darksome cloud, now shew theyr goodly beames
More bright then Hesperus his head doth rere."
SIR THOMAS WYATT,Unstable Dream,Renaissance,Love,"Why then, alas, did it not keep it right,
Returning, to leap into the fire?
     And where it was at wish, it could not remain,
     Such mocks of dreams they turn to deadly pain."
LOUIS UNTERMEYER,Magic,Modern,Nature,"We felt the years fly back; the brotherhood
Of forests took usand we saw the satyr!
There in a pool, up to his neck, he stood
And grinned to see us stare, incredulous
Too startled to remember fear or flight."
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"The fare and transfer, yet got by that way
Without recall,lost yet poised in traffic.
Then I might find your eyes across an aisle,
Still flickering with those prefigurations
Prodigal, yet uncontested now,"
JOHN DONNE,Of the Progress of the Soul: The Second Anniversary,Renaissance,Nature,"Think that they bury thee, and think that rite
Lays thee to sleep but a Saint Lucy's night."
WILLIAM BUTLER YEATS,The Song of the Happy Shepherd,Modern,Nature,"And still I dream he treads the lawn,
Walking ghostly in the dew,
Pierced by my glad singing through,
My songs of old earth's dreamy youth:
But ah! she dreams not now; dream thou!"
"HENRY HOWARD, EARL OF SURREY",Complaint of the Absence of Her Love Being Upon the Sea,Renaissance,Love,"A thousand fancies in that mood
Assail my restless mind.
Alas! now drencheth my sweet foe,
That with the spoil of my heart did go,
And left me; but, alas! why did he so?"
GEORGE GASCOIGNE,The Lullaby of a Lover,Renaissance,Love,"For crooked age and hoary hairs
Have won the haven within my head.
With lullaby, then, youth be still;
With lullaby content thy will;
Since courage quails and comes behind,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Mythology & Folklore,"         When wars doe surcease:
Such for a Princesse bene principall.
Ye shepheards daughters, that dwell on the greene,
         hye you there apace:
Let none come there, but that Virgins bene,"
JOHN DONNE,Air and Angels,Renaissance,Love,"         For, nor in nothing, nor in things
Extreme, and scatt'ring bright, can love inhere;
         Then, as an angel, face, and wings
Of air, not pure as it, yet pure, doth wear,
         So thy love may be my love's sphere;"
PAUL LAURENCE DUNBAR,Signs of the Times,Modern,Nature,"Nebbah min', you sassy rascal,
   He's gwine nab you atter while.
Choppin' suet in de kitchen,
   Stonin' raisins in de hall,
Beef a-cookin' fu' de mince meat,"
EDMUND SPENSER,Epithalamion,Renaissance,Mythology & Folklore,"To chose the longest day in all the yeare,
And shortest night, when longest fitter weare:
Yet never day so long, but late would passe.
Ring ye the bels, to make it weare away,
And bonefiers make all day,"
SIR PHILIP SIDNEY,"Astrophil and Stella 2: Not at first sight, nor with a dribbed shot",Renaissance,Love,"I call it praise to suffer tyranny;
And now employ the remnant of my wit
   To make myself believe that all is well,
   While with a feeling skill I paint my hell."
JOHN DONNE,The Canonization,Renaissance,Love,"         What merchant's ships have my sighs drowned?
Who says my tears have overflowed his ground?
         When did my colds a forward spring remove?
                When did the heats which my veins fill
                Add one more to the plaguy bill?"
SIR WALTER RALEGH,Walsinghame,Renaissance,Love,"But true Love is a durable fire
In the mind ever burning;
Never sick, never old, never dead,
From itself never turning."
THOMAS LODGE,Rosalinds Madrigal,Renaissance,Love,"And bind you, when you long to play,
For your offense.
Ill shut mine eyes to keep you in,
Ill make you fast it for your sin,
Ill count your power not worth a pin."
FORD MADOX FORD,In October 1914 [Antwerp],Modern,Mythology & Folklore,"To wash off the blood from the cities of Flanders. 
VI 
This is Charing Cross; 
It is midnight; 
There is a great crowd "
T. S. ELIOT,Preludes,Modern,Nature,"On broken blinds and chimney-pots,
And at the corner of the street
A lonely cab-horse steams and stamps.
And then the lighting of the lamps.
II"
JOHN DONNE,"Hymn to God, My God, in My Sickness",Renaissance,Nature,"We think that Paradise and Calvary,
         Christ's cross, and Adam's tree, stood in one place;
Look, Lord, and find both Adams met in me;
         As the first Adam's sweat surrounds my face,
         May the last Adam's blood my soul embrace."
WILLIAM SHAKESPEARE,Song: Who is Silvia? what is she,Renaissance,Love,"Then to Silvia let us sing,
    That Silvia is excelling;
She excels each mortal thing
    Upon the dull earth dwelling;
To her let us garlands bring"
EDMUND SPENSER,Amoretti XXII: This Holy Season,Renaissance,Love,"And on the same my heart will sacrifice,
Burning in flames of pure and chaste desire:
The which vouchsafe, O goddess, to accept,
Amongst thy dearest relics to be kept."
THOMAS CAMPION,When Thou Must Home to Shades of Underground,Renaissance,Love,"When thou hast told these honours done to thee,
Then tell, O tell, how thou didst murder me."
WALLACE STEVENS,Thirteen Ways of Looking at a Blackbird,Modern,Nature,"The blackbird whistling   
Or just after.   
VI
Icicles filled the long window   
With barbaric glass.   "
CHRISTOPHER MARLOWE,Hero and Leander,Renaissance,Mythology & Folklore,"She proudly sits) more over-rules the flood
Than she the hearts of those that near her stood.
Even as when gaudy nymphs pursue the chase,
Wretched Ixion's shaggy-footed race,
Incens'd with savage heat, gallop amain"
JOHN DONNE,The Bait,Renaissance,Love,"Will amorously to thee swim,
Gladder to catch thee, than thou him.
If thou, to be so seen, be'st loth,
By sun or moon, thou dark'nest both,
And if myself have leave to see,"
LADY MARY WROTH,from Pamphilia to Amphilanthus: 7,Renaissance,Love,"    And thy faire showes made mee a lover prove
    When I my freedome did, for paine refuse.
Yett this Sir God, your boyship I dispise;
Your charmes I obay, butt love nott want of eyes."
CARL SANDBURG,Bronzes,Modern,Nature,"A lithe Indian on a bronze pony, Shakespeare seated with long legs in bronze, Garibaldi in a bronze cape, they hold places in the cold, lonely snow to-night on their pedestals and so they will hold them past midnight and into the dawn."
JOHN DONNE,"Holy Sonnets: Show me dear Christ, thy spouse so bright and clear",Renaissance,Love,"Betray, kind husband, thy spouse to our sights,
And let mine amorous soul court thy mild Dove,
Who is most true and pleasing to thee then
When she'is embrac'd and open to most men."
JOHN DONNE,Love's Deity,Renaissance,Love,"      I should love her, who loves not me.
   Rebel and atheist too, why murmur I,
      As though I felt the worst that love could do?
Love might make me leave loving, or might try
      A deeper plague, to make her love me too;"
SIR THOMAS WYATT,"Madam, withouten many Words",Renaissance,Love,"Ye shall another man obtain,
    And I mine own and yours no more."
EDMUND SPENSER,"from The Faerie Queene: Book I, Canto I",Renaissance,Mythology & Folklore,"Which stunck so vildly, that it forst him slacke
His grasping hold, and from her turne him backe:
Her vomit full of bookes and papers was,
With loathly frogs and toades, which eyes did lacke,
And creeping sought way in the weedy gras:"
EDMUND SPENSER,Prothalamion,Renaissance,Mythology & Folklore,"An house of ancient fame.
There when they came, whereas those bricky towers,
The which on Thames' broad aged back do ride,
Where now the studious lawyers have their bowers
There whilom wont the Templar Knights to bide,"
JOHN DONNE,The Ecstasy,Renaissance,Nature,"If any, so by love refin'd
         That he soul's language understood,
And by good love were grown all mind,
         Within convenient distance stood,
He (though he knew not which soul spake,"
EDMUND SPENSER,from The Shepheardes Calender: April,Renaissance,Nature,"But when he sawe, how broade her beames did spredde,
         it did him amaze.
He blusht to see another Sunne belowe,
Ne durst againe his fyrye face out showe:
         Let him, if he dare,"
HART CRANE,For The Marriage of Faustus and Helen,Modern,Mythology & Folklore,"That winks above it, bluet in your breasts.
The earth may glide diaphanous to death;
But if I lift my arms it is to bend
To you who turned away once, Helen, knowing
The press of troubled hands, too alternate"
JOHN DONNE,Lovers' Infiniteness,Renaissance,Love,"The ground, thy heart, is mine; whatever shall
         Grow there, dear, I should have it all.
Yet I would not have all yet,
He that hath all can have no more;
And since my love doth every day admit"
WILLIAM SHAKESPEARE,Sonnet 34: Why didst thou promise such a beauteous day,Renaissance,Love,"The offenders sorrow lends but weak relief
To him that bears the strong offences cross.
   Ah! but those tears are pearl which thy love sheds,
   And they are rich and ransom all ill deeds."
PAUL LAURENCE DUNBAR,Sympathy,Modern,Nature,"When he fain would be on the bough a-swing;
    And a pain still throbs in the old, old scars   
And they pulse again with a keener sting
I know why he beats his wing!
I know why the caged bird sings, ah me,"
EZRA POUND,Three Cantos,Modern,Mythology & Folklore,"And saw the companyLayamon, Chaucer
Pass each in his appropriate robes;
Conversed with each, observed the varying fashion.
And then comes Heydon.
                                 ""I have seen John Heydon."""
THOMAS NASHE,"In Time of Plague [Adieu, farewell, earths bliss]",Renaissance,Love,"   Lord, have mercy on us!
Strength stoops unto the grave,
Worms feed on Hectors brave;
Swords may not fight with fate,
Earth still holds ope her gate."
SIR PHILIP SIDNEY,"Astrophil and Stella 48: Souls joy, bend not those morning stars from me",Renaissance,Love,"Whose cureless wounds even now most freshly bleed,
Yet since my death wound is already got,
Dear killer, spare not they sweet cruel shot;
A kind of grace it is to slay with speed."
EN JONSON,My Picture Left in Scotland,Renaissance,Love,"O, but my conscious fears,
That fly my thoughts between,
Tell me that she hath seen
My hundred of gray hairs,
Told seven and forty years"
SIR PHILIP SIDNEY,"Astrophil and Stella 20: Fly, fly, my friends, I have my death wound, fly",Renaissance,Love,"While that black hue from me the bad guest hid;
But straight I saw motions of lightning grace
And then descried the glist'ring of his dart:
But ere I could fly thence it pierc'd my heart."
RICHARD BARNFIELD,Sonnet 16,Renaissance,Mythology & Folklore,"Weening to kisse his lips, as my loves fees,
I feele but aire: nothing but aire to bee him.
Thus with Ixion, kisse I clouds in vaine:
Thus with Ixion, feele I endles paine."
